terme;categorie;forme_privilegiee;variantes;frequence;documents;sigle_developpement;statut;source_normative;exemple_1;exemple_2;note
Voraussetzung;autre;Voraussetzung;voraus-setzung;50;37;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
unserer;autre;unserer;unse-rer;50;36;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
wichtiger;autre;wichtiger;wich-tiger;49;40;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Regelschule;ecole;Regelschule;regel-schule;49;27;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
zahlreiche;autre;zahlreiche;zahl-reiche;49;38;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
erfolgreich;autre;erfolgreich;erfolg-reich;49;39;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
nachhaltig;autre;nachhaltig;nach-haltig;49;37;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Anerkennung;autre;Anerkennung;an-erkennung;49;28;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
persönlichen;autre;persönlichen;persön-lichen;48;40;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Diskriminierung;autre;Diskriminierung;diskri-minierung;48;28;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
konfrontiert;autre;konfrontiert;kon-frontiert;47;34;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Forschungsprojekte;autre;Forschungsprojekte;forschungs-projekte;47;23;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Digitalisierung;autre;Digitalisierung;digitalisie-rung;46;22;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
bekannt;autre;bekannt;be-kannt;46;31;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
wahrgenommen;autre;wahrgenommen;wahrgenom-men|wahr-genommen;45;37;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Einschränkungen;autre;Einschränkungen;einschrän-kungen;44;24;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Dimensionen;autre;Dimensionen;dimen-sionen;44;30;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
vermittelt;autre;vermittelt;ver-mittelt;43;33;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Ausdruck;autre;Ausdruck;aus-druck;43;28;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Behindertenrechtskonvention;handicap;Behindertenrechtskonvention;behindertenrechtskon-vention;42;37;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
angewiesen;autre;angewiesen;ange-wiesen;42;34;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Diagnose;autre;Diagnose;dia-gnose|diag-nose;42;30;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Einschätzung;autre;Einschätzung;einschät-zung;42;22;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Empfehlungen;autre;Empfehlungen;emp-fehlungen;41;27;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Früherziehung;autre;Früherziehung;früherzie-hung;41;13;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Beispiele;autre;Beispiele;bei-spiele;40;31;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
brauchen;autre;brauchen;brau-chen;40;31;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
einerseits;autre;einerseits;einer-seits;39;34;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
multiprofessionellen;autre;multiprofessionellen;multi-professionellen;39;17;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
spezifischen;autre;spezifischen;spe-zifischen;38;31;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Lernprozesse;autre;Lernprozesse;lern-prozesse;38;29;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Berufsgruppen;autre;Berufsgruppen;berufs-gruppen;38;12;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
komplexe;autre;komplexe;kom-plexe;37;31;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Organisationen;autre;Organisationen;organisa-tionen;37;28;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
orientieren;autre;orientieren;orien-tieren;37;28;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
bewegen;autre;bewegen;bewe-gen|be-wegen;36;22;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Chancengleichheit;autre;Chancengleichheit;chancen-gleichheit;36;23;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
herausfordernden;autre;herausfordernden;heraus-fordernden;36;15;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Stimme;autre;Stimme;stim-me;35;23;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
möchten;autre;möchten;möch-ten;34;26;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Auswertung;autre;Auswertung;auswer-tung;33;16;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
beobachten;autre;beobachten;beob-achten;33;27;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
entwickelte;autre;entwickelte;ent-wickelte;33;29;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
allgemeinen;autre;allgemeinen;allge-meinen;32;22;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
aufzubauen;autre;aufzubauen;aufzu-bauen;32;26;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
richtig;autre;richtig;rich-tig;31;21;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
erläutert;autre;erläutert;erläu-tert;31;25;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Reintegration;autre;Reintegration;re-integration;31;8;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
diagnostische;autre;diagnostische;diagnos-tische;31;14;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Überblick;autre;Überblick;über-blick;30;23;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Autorin;autre;Autorin;au-torin;30;18;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Betreuungspersonen;autre;Betreuungspersonen;betreuungs-personen;30;11;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
theoretischen;autre;theoretischen;theo-retischen|theore-tischen;29;23;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Gebärdensprache;autre;Gebärdensprache;gebärden-sprache;28;16;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
wesentlich;autre;wesentlich;wesent-lich;28;25;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
ganzen;autre;ganzen;gan-zen;28;24;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
komplexer;autre;komplexer;komple-xer;28;17;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Gemeinschaft;autre;Gemeinschaft;ge-meinschaft;28;17;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Konsequenzen;autre;Konsequenzen;konse-quenzen;28;21;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Diskussionen;autre;Diskussionen;diskus-sionen;27;18;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
behandelt;autre;behandelt;be-handelt;27;25;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Hause;autre;Hause;hau-se;27;21;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Psychologie;autre;Psychologie;psy-chologie;27;19;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Beteiligung;autre;Beteiligung;betei-ligung;24;18;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
entstanden;autre;entstanden;ent-standen;23;19;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
schüler:innen;ecole;schüler:innen;schülerinnen und schüler;0;0;;a_trancher;brief 21.09.2026;;;synonymes cités par le brief, non comptés automatiquement
aus;autre;aus;;1056;184;;neutre;;Die Ausbildungssituation der Jugendlichen auf der Sekundarstufe II ist eng mit deren sozialer Herkunft verknüpft.;So wurde etwa im Rahmen der TREE2-Studie festgestellt, dass sich rund ein Drittel der Schüler:innen aus Elternhäusern mit niedrigem Bildungsniveau und/oder tiefem sozio-ökonomischem Status im ersten nachobligatorischen Jahr in Zwischenlösungen befand oder ausbildungslos war (Keller et al., 2010).;
Schüler;ecole;Schüler;;945;110;;neutre;;So wurde etwa im Rahmen der TREE2-Studie festgestellt, dass sich rund ein Drittel der Schüler:innen aus Elternhäusern mit niedrigem Bildungsniveau und/oder tiefem sozio-ökonomischem Status im ersten nachobligatorischen Jahr in Zwischenlösungen befand oder ausbildungslos war (Keller et al., 2010).;Zusätzlich haben Schüler:innen der integrierten Sonderschule in der Regel ein Anrecht auf Unterstützung durch die Invalidenversicherung (IV).;
et;autre;et;;896;148;;neutre;;So wurde etwa im Rahmen der TREE2-Studie festgestellt, dass sich rund ein Drittel der Schüler:innen aus Elternhäusern mit niedrigem Bildungsniveau und/oder tiefem sozio-ökonomischem Status im ersten nachobligatorischen Jahr in Zwischenlösungen befand oder ausbildungslos war (Keller et al., 2010).;So werden gemäss Häfeli et al. (2014) oftmals Risiken und Defizite gesehen statt Schutzfaktoren und Ressourcen.;
Kinder;autre;Kinder;;848;117;;neutre;;Bei vielen Jugendlichen des besonderen Volksschulangebots können die Eltern ihre Kinder nicht ausreichend unterstützen.;Zudem nehmen die Eltern eine zentrale Rolle im Berufswahlprozess ihrer Kinder ein.;
al;autre;al;;811;135;;neutre;;Die Ausbildungssituation der Jugendlichen auf der Sekundarstufe II ist eng mit deren sozialer Herkunft verknüpft.;So werden gemäss Häfeli et al. (2014) oftmals Risiken und Defizite gesehen statt Schutzfaktoren und Ressourcen.;
et al;autre;et al;;807;134;;neutre;;So wurde etwa im Rahmen der TREE2-Studie festgestellt, dass sich rund ein Drittel der Schüler:innen aus Elternhäusern mit niedrigem Bildungsniveau und/oder tiefem sozio-ökonomischem Status im ersten nachobligatorischen Jahr in Zwischenlösungen befand oder ausbildungslos war (Keller et al., 2010).;So werden gemäss Häfeli et al. (2014) oftmals Risiken und Defizite gesehen statt Schutzfaktoren und Ressourcen.;
Schule;ecole;Schule;;743;128;;neutre;;Zusätzlich haben Schüler:innen der integrierten Sonderschule in der Regel ein Anrecht auf Unterstützung durch die Invalidenversicherung (IV).;Die unterstützenden Akteur:innen haben unterschiedliche Aufträge: Die Schule bietet Berufswahlunterricht an und unterstützt die Jugendlichen beim Erstellen der Bewerbungsunterlagen.;
Behinderungen;handicap;Behinderungen;;693;80;;neutre;;Aus dem Schattenbericht von Inclusion Handicap (2017) geht hervor, dass Jugendliche mit Behinderungen in der Schweiz bereits beim Zugang zur Berufsbildung mit zahlreichen, teils schweren Benachteiligungen konfrontiert sind.;So sind Arbeitgebende aus Angst vor Problemen im Team und wegen des erwarteten Betreuungsaufwandes selten motiviert, Menschen mit Behinderungen neu einzustellen (Inclusion Handicap, 2017).;
Lehrpersonen;ecole;Lehrpersonen;;622;105;;neutre;;Da die Eltern und die Lehrpersonen am regelmässigsten mit den Jugendlichen in Kontakt stehen, ist hier die Hürde wahrscheinlich am kleinsten, sich Unterstützung zu holen.;Besonders wichtig ist es, dass die Lehrpersonen (Schulische Heilpädagog:in und Klassenlehrperson) in engem Austausch mit der IV und dem Case Management stehen und dass sie diesen Institutionen keine relevanten Informationen vorenthalten.;
Eltern;autre;Eltern;;594;84;;neutre;;Im Berufswahlprozess liegt die Hauptverantwortung bei den Jugendlichen und ihren Eltern.;Bei vielen Jugendlichen des besonderen Volksschulangebots können die Eltern ihre Kinder nicht ausreichend unterstützen.;
vor;autre;vor;;575;165;;neutre;;Als Lehrpersonen und Schulische Heilpädagog:innen stehen wir jedoch fast täglich in unmittelbarem Austausch mit den Jugendlichen mit besonderem Bildungsbedarf und haben damit gegenüber anderen Fachstellen einen zentralen Vorteil.;Zudem beschreibt der Bericht, wie Jugendliche mit Gehörlosigkeit oder einer Hörbehinderung vor und während der beruflichen Grundbildung unterstützt werden und was das Umfeld tun kann.;
vom;autre;vom;;537;101;;neutre;;Der Berufswahlprozess findet vom 9. bis zum 11.;Auch der Inklusionsindex von Pro Infirmis (2023) zeigt, dass sich rund die Hälfte aller Menschen mit Behinderungen vom ersten Arbeitsmarkt[1] ausgeschlossen fühlt.;
dies;autre;dies;;528;156;;neutre;;Falls Lernende die besondere Volksschule integrativ besuchen und in ein Berufsfindungs- oder Brückenangebot der besonderen Volksschule übertreten, ist die Regelschule in der Verantwortung, dies zu organisieren.;Wenn viele verschiedene Akteur:innen am Berufswahlprozess beteiligt sind, kann dies für betroffene Jugendliche herausfordernd sein, denn es besteht die Gefahr, den Überblick zu verlieren.;
ch;autre;ch;;501;162;;neutre;;-   Ermutigen und unterstützen Sie die Jugendlichen beim Organisieren von Schnupperlehren und beim Schreiben von Bewerbungen.;Nützliche Informationen finden die Jugendlichen zum Beispiel unter berufsberatung.ch oder yousty.ch.;
lernen;ecole;lernen;;486;121;;neutre;;Eidgenössische Berufsatteste und Fähigkeitszeugnisse bilden die Basis für lebenslanges Lernen und eröffnen vielfältige berufliche Perspektiven.;Oder sie lernen die Merkmale der unterschiedlichen eidgenössisch anerkannten Ausbildungen wie Eidgenössisches Berufsattest (EBA) und Eidgenössisches Fähigkeitszeugnis (EFZ) kennen.;
Schweiz;autre;Schweiz;;484;99;;neutre;;Die Schweizer Berufsbildung bietet mit ihren rund 250 Abschlüssen der beruflichen Grundbildung eine grosse Auswahl an Berufen beziehungsweise Lehrstellen, mit denen Jugendliche ins Berufsleben starten können.;Aus dem Schattenbericht von Inclusion Handicap (2017) geht hervor, dass Jugendliche mit Behinderungen in der Schweiz bereits beim Zugang zur Berufsbildung mit zahlreichen, teils schweren Benachteiligungen konfrontiert sind.;
Bildung;autre;Bildung;;459;106;;neutre;;Der erfolgreiche Übertritt von Jugendlichen von der obligatorischen Schulzeit in die nachobligatorische Bildung ist ein wichtiger Schritt auf dem Weg zur aktiven Teilhabe an der Gesellschaft.;Im Kanton Bern gibt es mehrere Fachstellen, welche Lernende der besonderen Volksschule auf ihrem Weg in die nachobligatorische Bildung begleiten.;
was;autre;was;;448;153;;neutre;;Zudem beschreibt der Bericht, wie Jugendliche mit Gehörlosigkeit oder einer Hörbehinderung vor und während der beruflichen Grundbildung unterstützt werden und was das Umfeld tun kann.;Sie beschreiben, was zu Beginn, während und nach erfolgreichem Abschluss einer beruflichen Grundbildung zu beachten ist.;
Heilpädagogik;autre;Heilpädagogik;;447;167;;neutre;;Schweizerische Zeitschrift für Heilpädagogik, Jg.;Es folgen die personellen Unterstützungsangebote Lerncoaching (33 %), Schulsozialarbeit (19 %), Schulische Heilpädagogik (9 %) und Klassenassistenz (5 %).;
dabei;autre;dabei;;446;153;;neutre;;Der oder die begleitende schulische Heilpädagog:in kann dabei ebenfalls eine wichtige Unterstützungsfunktion einnehmen.;Wichtig ist, im Einzelfall das jeweils beste Vorgehen und Angebot zu finden und dabei die vorhandenen Instrumente optimal zu nutzen.;
ich;autre;ich;;441;76;;neutre;;Im ersten Arbeitsmarkt fühle ich mich viel selbstbewusster.;Mir ist es sehr wichtig, dass ich auf meinen eigenen Beinen stehen kann.;
sondern;autre;sondern;;422;142;;neutre;;Jugendliche mit Behinderungen müssen nicht nur den ohnehin schon anspruchsvollen Übergang in die Berufswelt meistern, sondern auch zusätzliche Barrieren überwinden.;Es ist jedoch anzunehmen, dass das Zeugnis der Sonderschule eine stigmatisierende Wirkung hatte, da es keine Noten, sondern einen Lernbericht enthält.;
Lernenden;ecole;Lernenden;;411;83;;neutre;;Bei Lernenden der besonderen Volksschule kann die Sonderschulung zudem bis zum 20.;Die Masterarbeit der Erstautorin soll dazu beitragen, die interinstitutionelle Zusammenarbeit zu verbessern und durch das erworbene Wissen den Lernenden der besonderen Volksschule eine optimale Unterstützung während des Übergangs in die nachobligatorische Bildung zu bieten.[1];
Kindern;autre;Kindern;;388;92;;neutre;;Die Stiftung Lerchenbühl in Burgdorf bietet Kindern und Jugendlichen mit besonderen Bedürfnissen ein vielfältiges Angebot: Schule, Berufsvorbereitung, interne und externe Ausbildungen auf allen Ausbildungsniveaus, Coaching und Wohnen.;Autismus-Spektrum-Störungen bei Kindern – Gemeinsame Finanzierung der Frühintervention durch IV und Kantone sicherstellen;
https;autre;https;;383;37;;neutre;;Tecklenburg (Hrsg.), Wörterbuch der Schweizer Sozialpolitik. https://www.seismoverlag.ch/de/daten-woerterbuch/berufsbildung-fur-menschen-mit-behinderung;Schweizerische Zeitschrift für Heilpädagogik,29 (1), 36–42. https://doi.org/10.57161/z2023-01-06;
Unterstützung;autre;Unterstützung;;382;128;;neutre;;Für Personen mit einem besonderen Bildungsbedarf stehen Angebote wie die Berufliche Grundbildung mit Unterstützung der IV oder die Praktische Ausbildung nach INSOS zur Verfügung.;Damit die Unterstützung optimal gelingt, ist es für Schulische Heilpädagog:innen hilfreich, die Aufgaben der verschiedenen Fachstellen zu kennen und sich mit Gelingensbedingungen der interinstitutionellen Zusammenarbeit auseinanderzusetzen.;
de;autre;de;;380;61;;neutre;;Berufsbildung für Menschen mit Behinderung.;Eine Grounded Theory Studie im Längsschnitt.;
Inklusion;autre;Inklusion;;371;80;;neutre;;Dabei steht folgende Frage im Zentrum: Welche Rahmenbedingungen müssen gegeben sein, damit die Inklusion in den ersten Arbeitsmarkt gelingen kann?;Vielmehr sind Jugendliche mit Behinderungen auf Unternehmen angewiesen, die Inklusion fördern und auf ihre Ressourcen und Fähigkeiten setzen.;
Teilhabe;autre;Teilhabe;;367;92;;neutre;;Der erfolgreiche Übertritt von Jugendlichen von der obligatorischen Schulzeit in die nachobligatorische Bildung ist ein wichtiger Schritt auf dem Weg zur aktiven Teilhabe an der Gesellschaft.;Digitale Teilhabe von Lernenden mit Beeinträchtigungen in der Berufsbildung.;
ihrer;autre;ihrer;;353;132;;neutre;;Viele Lernende des besonderen Volksschulangebots, sei dieses integrativ oder separativ, gehören aufgrund ihrer Herkunft mindestens einer der genannten Gruppen an und haben somit ein erhöhtes Risiko, über die erste Schwelle zu stolpern.;Diese Komplexität ergibt sich unter anderem aus den unterschiedlichen Sozialisationserfahrungen und der Art und Weise ihrer Kommunikation.;
jedoch;autre;jedoch;;349;145;;neutre;;Häufig ist hierfür jedoch die Unterstützung durch die Schule notwendig.;Ein Grund dafür ist, dass alle Akteur:innen ihre eigenen Aufträge haben, jedoch haben sie häufig zu wenig Einblick in die Aufträge oder das Fachgebiet der anderen Stellen.;
Kind;autre;Kind;;349;63;;neutre;;Sie muss eine wohlwollende Beziehung zu jedem Kind aufbauen, Sicherheit vermitteln – auch gegenüber den Eltern – und über ein grosses didaktisches Repertoire verfügen.;Beispielsweise wirkt es exkludierend, wenn immer das gleiche Kind mit der Klassenassistenz nochmals etwas anschauen muss.;
zeigt;autre;zeigt;;343;143;;neutre;;Neben dem Berufsbildungssystem zeigt sich auch die Welt der Menschen mit Gehörlosigkeit oder einer Hörbehinderung komplex.;Zusammenfassend zeigt sich, dass in der Berufsbildung auf der Basis der bestehenden Gesetzgebung ein vielfältiges Instrumentarium an Massnahmen und Unterstützungsangeboten für Jugendliche und Erwachsene mit Gehörlosigkeit oder einer Hörbehinderung sowie Unternehmen besteht.;
zeigen;autre;zeigen;;326;133;;neutre;;Eigene Erfahrungen mit Fachpersonen der IV und des BIZ (Berufsberatungs- und Informationszentren) zeigen, dass die Kooperation zwischen den Fachstellen häufig schwierig ist.;Unsere Erfahrungen in der Stiftung MyHandicap zeigen, dass Menschen mit Behinderungen häufig von Stigmatisierungen betroffen sind.;
Schulen;ecole;Schulen;;322;90;;neutre;;Diese reichen von weiterführenden Schulen (z.;Ein weiterer Schritt wäre die Implementierung solcher Vereinbarungen zwischen Schulen und der IV respektive dem Case Management Berufsbildung, beispielsweise in Form von Checklisten mit den Zuständigkeiten der einzelnen Stellen.;
dazu;autre;dazu;;322;143;;neutre;;Die Masterarbeit der Erstautorin soll dazu beitragen, die interinstitutionelle Zusammenarbeit zu verbessern und durch das erworbene Wissen den Lernenden der besonderen Volksschule eine optimale Unterstützung während des Übergangs in die nachobligatorische Bildung zu bieten.[1];Dies führt dazu, dass Informationen vonseiten der Jugendlichen mit grosser Wahrscheinlichkeit eher in die Schule gelangen als zu anderen Fachstellen.;
Förderung;autre;Förderung;;318;99;;neutre;;Deshalb nehmen Unternehmen und insbesondere Lehrbetriebe eine Schlüsselrolle ein bei der Gewinnung, Förderung und Bindung von Menschen mit Behinderungen.;Empfehlung 3: Wir empfehlen, dass jede Schule eine beziehungsweise mehrere Fachpersonen mit einer spezifischen Expertise zur schulischen Förderung von Lernenden im Autismus-Spektrum ausstattet.;
zudem;autre;zudem;;314;146;;neutre;;Bei Lernenden der besonderen Volksschule kann die Sonderschulung zudem bis zum 20.;Während oder nach dem Abschluss einer beruflichen Grundbildung mit EFZ kann zudem eine Berufsmaturität erworben werden.;
Kompetenzen;autre;Kompetenzen;;301;98;;neutre;;Daher ist die gesamtschweizerische Vergleichbarkeit der Maturitätszeugnisse und der erworbenen Kompetenzen der Gymnasiast:innen zentral.;Es werden Vorgaben gemacht zum Fächerangebot, zu den grundlegenden fachlichen Kompetenzen für die allgemeine Studierfähigkeit in der Unterrichtssprache und Mathematik sowie zur Wissenschaftspropädeutik (MAV bzw.;
Zeitschrift;autre;Zeitschrift;;296;162;;neutre;;Schweizerische Zeitschrift für Heilpädagogik, Jg.;Schweizerische Zeitschrift für Heilpädagogik, 30, 06/2024;
oft;autre;oft;;289;130;;neutre;;In grösseren Betrieben wird die Ausbildung oft auf mehrere Personen verteilt.;Eine andere Herausforderung für die Lernenden ist oft auch die Klassengrösse.;
soziale;autre;soziale;;286;99;;neutre;;Die zentrale These des systemischen Denkens ist, dass es in einem sozialen System nicht die eine Ursache gibt, sondern dass sich verschiedene Faktoren stets wechselseitig beeinflussen (König et al., 2020).;Soziale Unterstützung von Jugendlichen in der beruflichen Grundbildung.;
anderen;autre;anderen;;284;121;;neutre;;Brückenangebote richten sich an Jugendliche, welche keine Lehrstelle finden, schulische Lücken aufweisen und/oder aus anderen Gründen noch nicht bereit für eine Berufslehre sind.;Ein Grund dafür ist, dass alle Akteur:innen ihre eigenen Aufträge haben, jedoch haben sie häufig zu wenig Einblick in die Aufträge oder das Fachgebiet der anderen Stellen.;
beispielsweise;autre;beispielsweise;;283;117;;neutre;;Ein weiterer Schritt wäre die Implementierung solcher Vereinbarungen zwischen Schulen und der IV respektive dem Case Management Berufsbildung, beispielsweise in Form von Checklisten mit den Zuständigkeiten der einzelnen Stellen.;Weiter kann die Kommunikation erleichtert werden, indem beispielsweise gute Lichtverhältnisse herrschen, in kurzen Sätzen gesprochen wird oder Hintergrundgeräusche beseitigt werden (ebd.).;
Verhalten;autre;Verhalten;;283;77;;neutre;;Cooper et al. (2000) zeigten, dass ein niedriger sozioökonomischer Status mit weniger autonomieunterstützendem Verhalten und mit mehr Einmischung in der Lernbegleitung zusammenhing.;Anschliessend wurden die Unterstützungsmöglichkeiten zuhause anhand von drei möglichen Ansatzpunkten thematisiert: elterliche Einstellungen, Organisation der Lernumgebung, elterliches Verhalten.;
Prozent;autre;Prozent;;280;56;;neutre;;Bei Jugendlichen mit Migrationshintergrund aus der ersten Generation ist der Anteil mit 40 Prozent sogar noch höher (Gomensoro & Meyer, 2021).;89 Prozent der allgemeinbildenden Schulen geben an, von den Eltern über eine vorliegende Autismus-Diagnose informiert worden zu sein, bei den Berufsschulen sind dies nur 63 Prozent.;
Sprache;autre;Sprache;;278;77;;neutre;;Die Ausgaben des Screenreaders lassen sich als gesprochene Schrift beschreiben (und nicht als gesprochene Sprache), womit die Unterschiede zur menschlichen Rede deutlich werden (Schulz, 2024).;Diese Eigenheiten finden nun über die Technisierung gesprochener Sprache Eingang in dieselbe.;
